date,store,machine_id,spins,bb,rb,event_frag,合算確率,BB確率,Rb確率,投入枚数(IN),払出枚数(OUT),利益(円),1Gあたり利益,稼働率,設定1差分,設定2差分,設定3差分,設定4差分,設定5差分,設定6差分,最小差分,推定設定,データ異常,設定信頼度,店舗日ID,イベント名
2026/03/19,2,5,1012,2,2,0,253,506,506,3036,672,47280,46.71936759,0.09825242718,378.5,417.5,495,576,623,692.5,378.5,1,0,39,2_46100,通常
2026/03/19,2,6,1016,3,2,0,203.2,338.6666667,508,3048,912,42720,42.04724409,0.0986407767,214.1666667,253.1666667,330.6666667,411.6666667,458.6666667,528.1666667,214.1666667,1,0,39,2_46100,通常
2026/03/19,2,7,4814,21,23,0,109.4090909,229.2380952,209.3043478,14442,7248,143880,29.88782717,0.4673786408,343.305383,304.305383,226.805383,145.805383,98.80538302,29.7815735,29.7815735,6,0,69.02380952,2_46100,通常
2026/03/19,2,8,640,3,1,0,160,213.3333333,640,1920,816,22080,34.5,0.06213592233,406.1666667,439.1666667,508.6666667,565.6666667,584.6666667,632.1666667,406.1666667,1,0,33,2_46100,通常
2026/03/19,2,9,730,2,1,0,243.3333333,365,730,2190,576,32280,44.21917808,0.07087378641,573.5,612.5,690,771,818,887.5,573.5,1,0,39,2_46100,通常
2026/03/19,2,10,886,2,2,0,221.5,443,443,2658,672,39720,44.83069977,0.08601941748,221,260,337.5,418.5,465.5,535,221,1,0,39,2_46100,通常
2026/03/19,3,1,1897,6,5,0,172.4545455,316.1666667,379.4,5691,1920,75420,39.75751186,0.1841747573,87.56666667,54.56666667,115.2666667,196.2666667,243.2666667,312.7666667,54.56666667,2,0,33,3_46100,通常
2026/03/19,3,2,1400,6,2,0,175,233.3333333,700,4200,1632,51360,36.68571429,0.1359223301,476.1666667,509.1666667,578.6666667,635.6666667,654.6666667,710.8333333,476.1666667,1,0,33,3_46100,通常
2026/03/19,3,3,599,1,0,0,599,599,,1797,240,31140,51.98664441,0.05815533981,939.5,906.5,837,780,761,713.5,713.5,6,1,47.5,3_46100,通常
2026/03/19,3,4,829,0,4,0,207.25,,207.25,2487,384,42060,50.7358263,0.08048543689,575.625,536.625,459.125,378.125,331.125,261.625,261.625,6,1,69.5,3_46100,通常
2026/03/19,3,5,649,0,1,0,649,,649,1947,96,37020,57.04160247,0.06300970874,633,666,735.5,792.5,811.5,859,633,1,1,33,3_46100,通常
2026/03/19,3,6,3485,13,8,0,165.952381,268.0769231,435.625,10455,3888,131340,37.68723099,0.3383495146,44.86057692,77.86057692,151.5144231,232.5144231,279.5144231,349.0144231,44.86057692,1,0,33,3_46100,通常
2026/03/19,3,7,1033,3,4,0,147.5714286,344.3333333,258.25,3099,1104,39900,38.62536302,0.1002912621,297.4583333,264.4583333,194.9583333,137.9583333,118.9583333,159.2083333,118.9583333,5,0,19,3_46100,通常
2026/03/19,3,8,5889,30,21,0,115.4705882,196.3,280.4285714,17667,9216,169020,28.70096791,0.5717475728,269.5571429,230.5571429,153.0571429,72.05714286,62.34285714,109.8428571,62.34285714,5,0,9.714285714,3_46100,通常
2026/03/19,3,9,525,2,0,0,262.5,262.5,,1575,480,21900,41.71428571,0.05097087379,624,585,507.5,443.5,424.5,377,377,6,1,47.5,3_46100,通常
2026/03/19,3,10,1414,4,2,0,235.6666667,353.5,707,4242,1152,61800,43.70579915,0.1372815534,527.5,566.5,644,725,772,841.5,527.5,1,0,39,3_46100,通常
2026/03/19,4,1,4320,13,16,0,148.9655172,332.3076923,270,12960,4656,166080,38.44444444,0.4194174757,267.8076923,234.8076923,165.3076923,108.3076923,95.30769231,164.8076923,95.30769231,5,0,13,4_46100,通常
2026/03/19,4,2,4306,18,15,0,130.4848485,239.2222222,287.0666667,12918,5760,143160,33.24663261,0.4180582524,216.6777778,177.6777778,100.1777778,19.17777778,29.37777778,97.32222222,19.17777778,4,0,10.2,4_46100,通常
